# RNASeq SRA override list
# Controls per-accession handling in SRA_FETCH.
#
# NOTE: BGISEQ/MGISEQ platform accessions are auto-detected from efetch runinfo
# and routed to the rename_headers strategy without needing an entry here.
# Add an explicit entry only to override that auto-detection or to force skip.
#
# action values:
#   skip            — exclude this accession entirely (bad library, low quality, etc.)
#   rename_headers  — use fasterq-dump --split-3, then renumber headers with seqkit
#                     so R1/R2 spot numbers are in sync. Auto-applied for BGISEQ
#                     platform; list here to force on non-BGISEQ accessions with the
#                     same issue, or to override auto-detection.
#
# Format: sra_accession,species_tag,taxonid,action
SRR8919655,Sporisorium_graminicola,280036,SE_trinity
SRR8919648,Sporisorium_graminicola,280036,SE_trinity
SRR8919643,Sporisorium_graminicola,280036,SE_trinity
SRR8919649,Sporisorium_graminicola,280036,SE_trinity
SRR8919646,Sporisorium_graminicola,280036,SE_trinity
SRR12496020,Malassezia_globosa,76773,SE_trinity
SRR12496022,Malassezia_globosa,76773,SE_trinity
SRR12496028,Malassezia_globosa,76773,SE_trinity
SRR12496033,Malassezia_globosa,76773,SE_trinity
SRR12496021,Malassezia_globosa,76773,SE_trinity
